Channel Id,Channel Url,Channel Title
UCtESv1e7ntJaLJYKIO1FoYw,http://www.youtube.com/channel/UCtESv1e7ntJaLJYKIO1FoYw,Periodic Videos
UCu6mSoMNzHQiBIOCkHUa2Aw,http://www.youtube.com/channel/UCu6mSoMNzHQiBIOCkHUa2Aw,Cody'sLab
UCuPgdqQKpq4T4zeqmTelnFg,http://www.youtube.com/channel/UCuPgdqQKpq4T4zeqmTelnFg,kaptainkristian
UCvBqzzvUBLCs8Y7Axb-jZew,http://www.youtube.com/channel/UCvBqzzvUBLCs8Y7Axb-jZew,Sixty Symbols
UCvQECJukTDE2i6aCoMnS-Vg,http://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg,Big Think
UCw95T_TgbGHhTml4xZ9yIqg,http://www.youtube.com/channel/UCw95T_TgbGHhTml4xZ9yIqg,The Vintage Space
UCworsKCR-Sx6R6-BnIjS2MA,http://www.youtube.com/channel/UCworsKCR-Sx6R6-BnIjS2MA,Clickspring
UCxzC4EngIsMrPmbm6Nxvb-A,http://www.youtube.com/channel/UCxzC4EngIsMrPmbm6Nxvb-A,Scott Manley





